Rank,Gold,Silver,Bronze,Total,CY,NOC,IsHost,Relative_Year,Host_Country,Original_Host_Year
9,6,2,3,11,1952,Australia,False,-4,Australia,1956
3,13,8,14,35,1956,Australia,True,Host Year,Australia,1956
5,8,8,6,22,1960,Australia,False,+4,Australia,1956
7,9,9,23,41,1996,Australia,False,-4,Australia,2000
4,16,25,17,58,2000,Australia,True,Host Year,Australia,2000
4,17,16,17,50,2004,Australia,False,+4,Australia,2000
22,3,5,9,17,2012,Brazil,False,-4,Brazil,2016
13,7,6,6,19,2016,Brazil,True,Host Year,Brazil,2016
12,7,6,8,21,2020,Brazil,False,+4,Brazil,2016
27,0,2,3,5,1972,Canada,False,-4,Canada,1976
27,0,5,6,11,1976,Canada,True,Host Year,Canada,1976
6,10,18,16,44,1984,Canada,False,+8,Canada,1976
2,32,17,14,63,2004,China,False,-4,China,2008
1,48,22,30,100,2008,China,True,Host Year,China,2008
2,39,31,22,92,2012,China,False,+4,China,2008
6,8,7,5,20,1948,Finland,False,-4,Finland,1952
8,6,3,13,22,1952,Finland,True,Host Year,Finland,1952
13,3,1,11,15,1956,Finland,False,+4,Finland,1952
8,10,12,11,33,2020,France,False,-4,France,2024
5,16,26,22,64,2024,France,True,Host Year,France,2024
12,3,14,6,23,1948,Great Britain,True,Host Year,Great Britain,1948
18,1,2,8,11,1952,Great Britain,False,+4,Great Britain,1948
4,19,13,19,51,2008,Great Britain,False,-4,Great Britain,2012
3,29,18,18,65,2012,Great Britain,True,Host Year,Great Britain,2012
2,27,23,17,67,2016,Great Britain,False,+4,Great Britain,2012
17,4,6,3,13,2000,Greece,False,-4,Greece,2004
15,6,6,4,16,2004,Greece,True,Host Year,Greece,2004
60,0,2,1,3,2008,Greece,False,+4,Greece,2004
5,8,8,9,25,1956,Italy,False,-4,Italy,1960
3,13,10,13,36,1960,Italy,True,Host Year,Italy,1960
5,10,10,7,27,1964,Italy,False,+4,Italy,1960
8,4,7,7,18,1960,Japan,False,-4,Japan,1964
3,16,5,8,29,1964,Japan,True,Host Year,Japan,1964
3,11,7,7,25,1968,Japan,False,+4,Japan,1964
6,12,8,21,41,2016,Japan,False,-4,Japan,2020
3,27,14,17,58,2020,Japan,True,Host Year,Japan,2020
3,20,12,13,45,2024,Japan,False,+4,Japan,2020
35,0,0,1,1,1964,Mexico,False,-4,Mexico,1968
15,3,3,3,9,1968,Mexico,True,Host Year,Mexico,1968
33,0,1,0,1,1972,Mexico,False,+4,Mexico,1968
10,6,6,7,19,1984,South Korea,False,-4,South Korea,1988
4,12,10,11,33,1988,South Korea,True,Host Year,South Korea,1988
7,12,5,12,29,1992,South Korea,False,+4,South Korea,1988
1,49,41,35,125,1976,Soviet Union,False,-4,Soviet Union,1980
1,80,69,46,195,1980,Soviet Union,True,Host Year,Soviet Union,1980
1,55,31,46,132,1988,Soviet Union,False,+8,Soviet Union,1980
25,1,1,2,4,1988,Spain,False,-4,Spain,1992
6,13,7,2,22,1992,Spain,True,Host Year,Spain,1992
13,5,6,6,17,1996,Spain,False,+4,Spain,1992
3,34,35,25,94,1976,United States,False,-8,United States,1984
1,83,61,30,174,1984,United States,True,Host Year,United States,1984
3,36,31,27,94,1988,United States,False,+4,United States,1984
2,37,34,37,108,1992,United States,False,-4,United States,1996
1,44,32,25,101,1996,United States,True,Host Year,United States,1996
1,37,24,32,93,2000,United States,False,+4,United States,1996
8,5,11,10,26,1968,West Germany,False,-4,West Germany,1972
4,13,11,16,40,1972,West Germany,True,Host Year,West Germany,1972
4,10,12,17,39,1976,West Germany,False,+4,West Germany,1972
