Rank,Nation,Gold,Silver,Bronze,Total
1,United States,38,27,19,84
2,Sweden,16,11,17,44
3,France,11,6,15,32
4,Hungary,10,5,12,27
5,Italy,8,11,8,27
6,Finland,8,7,5,20
7,Turkey,6,4,2,12
8,Czechoslovakia,6,2,3,11
9,Switzerland,5,10,5,20
10,Denmark,5,7,8,20
11,Netherlands,5,2,9,16
12,Great Britain*,3,14,6,23
13,Argentina,3,3,1,7
14,Australia,2,6,5,13
15,Belgium,2,2,3,7
16,Egypt,2,2,1,5
17,Mexico,2,1,2,5
18,South Africa,2,1,1,4
19,Norway,1,3,3,7
20,Jamaica,1,2,0,3
21,Austria,1,0,3,4
22,India,1,0,0,1
22,Peru,1,0,0,1
24,Yugoslavia,0,2,0,2
25,Canada,0,1,2,3
26,Portugal,0,1,1,2
26,Uruguay,0,1,1,2
28,Ceylon,0,1,0,1
28,Cuba,0,1,0,1
28,Spain,0,1,0,1
28,Trinidad and Tobago,0,1,0,1
32,Panama,0,0,2,2
32,South Korea,0,0,2,2
34,Brazil,0,0,1,1
34,Iran,0,0,1,1
34,Poland,0,0,1,1
34,Puerto Rico,0,0,1,1
Totals (37 entries),Totals (37 entries),139,135,140,414
