Rank,NOC,Gold,Silver,Bronze,Total
1,United States,36,26,28,90
2,Soviet Union,30,31,35,96
3,Japan*,16,5,8,29
4,United Team of Germany[A],10,22,18,50
5,Italy,10,10,7,27
6,Hungary,10,7,5,22
7,Poland,7,6,10,23
8,Australia,6,2,10,18
9,Czechoslovakia,5,6,3,14
10,Great Britain,4,12,2,18
11,Bulgaria,3,5,2,10
12,Finland,3,0,2,5
12,New Zealand,3,0,2,5
14,Romania,2,4,6,12
15,Netherlands,2,4,4,10
16,Turkey,2,3,1,6
17,Sweden,2,2,4,8
18,Denmark,2,1,3,6
19,Yugoslavia,2,1,2,5
20,Belgium,2,0,1,3
21,France,1,8,6,15
22,Canada,1,2,1,4
22,Switzerland,1,2,1,4
24,Bahamas,1,0,0,1
24,Ethiopia,1,0,0,1
24,India,1,0,0,1
27,South Korea,0,2,1,3
28,Trinidad and Tobago,0,1,2,3
29,Tunisia,0,1,1,2
30,Argentina,0,1,0,1
30,Cuba,0,1,0,1
30,Pakistan,0,1,0,1
30,Philippines,0,1,0,1
34,Iran,0,0,2,2
35,Brazil,0,0,1,1
35,Ghana,0,0,1,1
35,Ireland,0,0,1,1
35,Kenya,0,0,1,1
35,Mexico,0,0,1,1
35,Nigeria,0,0,1,1
35,Uruguay,0,0,1,1
Totals (41 entries),Totals (41 entries),163,167,174,504
