Rank,Gold,Silver,Bronze,Total,CY,NOC
1,38,27,19,84,1948,United States
2,16,11,17,44,1948,Sweden
3,11,6,15,32,1948,France
4,10,5,12,27,1948,Hungary
5,8,11,8,27,1948,Italy
6,8,7,5,20,1948,Finland
7,6,4,2,12,1948,Turkey
8,6,2,3,11,1948,Czechoslovakia
9,5,10,5,20,1948,Switzerland
10,5,7,8,20,1948,Denmark
11,5,2,9,16,1948,Netherlands
12,3,14,6,23,1948,Great Britain
13,3,3,1,7,1948,Argentina
14,2,6,5,13,1948,Australia
15,2,2,3,7,1948,Belgium
16,2,2,1,5,1948,Egypt
17,2,1,2,5,1948,Mexico
18,2,1,1,4,1948,South Africa
19,1,3,3,7,1948,Norway
20,1,2,0,3,1948,Jamaica
21,1,0,3,4,1948,Austria
22,1,0,0,1,1948,India
22,1,0,0,1,1948,Peru
24,0,2,0,2,1948,Yugoslavia
25,0,1,2,3,1948,Canada
26,0,1,1,2,1948,Portugal
26,0,1,1,2,1948,Uruguay
28,0,1,0,1,1948,Ceylon
28,0,1,0,1,1948,Cuba
28,0,1,0,1,1948,Spain
28,0,1,0,1,1948,Trinidad and Tobago
32,0,0,2,2,1948,Panama
32,0,0,2,2,1948,South Korea
34,0,0,1,1,1948,Brazil
34,0,0,1,1,1948,Iran
34,0,0,1,1,1948,Poland
34,0,0,1,1,1948,Puerto Rico
1,40,19,17,76,1952,United States
2,22,30,19,71,1952,Soviet Union
3,16,10,16,42,1952,Hungary
4,12,13,10,35,1952,Sweden
5,8,9,4,21,1952,Italy
6,7,3,3,13,1952,Czechoslovakia
7,6,6,6,18,1952,France
8,6,3,13,22,1952,Finland
9,6,2,3,11,1952,Australia
10,3,2,0,5,1952,Norway
11,2,6,6,14,1952,Switzerland
12,2,4,4,10,1952,South Africa
13,2,3,0,5,1952,Jamaica
14,2,2,0,4,1952,Belgium
15,2,1,3,6,1952,Denmark
16,2,0,1,3,1952,Turkey
17,1,6,2,9,1952,Japan
18,1,2,8,11,1952,Great Britain
19,1,2,2,5,1952,Argentina
20,1,2,1,4,1952,Poland
21,1,2,0,3,1952,Canada
21,1,2,0,3,1952,Yugoslavia
23,1,1,2,4,1952,Romania
24,1,0,2,3,1952,Brazil
24,1,0,2,3,1952,New Zealand
26,1,0,1,2,1952,India
27,1,0,0,1,1952,Luxembourg
28,0,7,17,24,1952,Germany
29,0,5,0,5,1952,Netherlands
30,0,3,4,7,1952,Iran
31,0,2,0,2,1952,Chile
32,0,1,1,2,1952,Austria
32,0,1,1,2,1952,Lebanon
34,0,1,0,1,1952,Ireland
34,0,1,0,1,1952,Mexico
34,0,1,0,1,1952,Spain
37,0,0,2,2,1952,South Korea
37,0,0,2,2,1952,Trinidad and Tobago
37,0,0,2,2,1952,Uruguay
40,0,0,1,1,1952,Bulgaria
40,0,0,1,1,1952,Egypt
40,0,0,1,1,1952,Portugal
40,0,0,1,1,1952,Venezuela
1,37,29,32,98,1956,Soviet Union
2,32,25,17,74,1956,United States
3,13,8,14,35,1956,Australia
4,9,10,7,26,1956,Hungary
5,8,8,9,25,1956,Italy
6,8,5,6,19,1956,Sweden
7,6,13,7,26,1956,United Team of Germanye
8,6,7,11,24,1956,Great Britain
9,5,3,5,13,1956,Romania
10,4,10,5,19,1956,Japan
11,4,4,6,14,1956,France
12,3,2,2,7,1956,Turkey
13,3,1,11,15,1956,Finland
14,2,2,1,5,1956,Iran
15,2,1,3,6,1956,Canada
16,2,0,0,2,1956,New Zealand
17,1,4,4,9,1956,Poland
18,1,4,1,6,1956,Czechoslovakia
19,1,3,1,5,1956,Bulgaria
20,1,2,1,4,1956,Denmark
21,1,1,3,5,1956,Ireland
22,1,0,2,3,1956,Norway
23,1,0,1,2,1956,Mexico
24,1,0,0,1,1956,Brazil
24,1,0,0,1,1956,India
26,0,3,0,3,1956,Yugoslavia
