Rank,Gold,Silver,Bronze,Total,CY,NOC
1,4,3,3,10,1948,Norway
1,4,3,3,10,1948,Sweden
3,3,4,3,10,1948,Switzerland
4,3,4,2,9,1948,United States
5,2,1,2,5,1948,France
6,2,0,1,3,1948,Canada
7,1,3,4,8,1948,Austria
8,1,3,2,6,1948,Finland
9,1,1,0,2,1948,Belgium
10,1,0,0,1,1948,Italy
11,0,1,0,1,1948,Czechoslovakia
11,0,1,0,1,1948,Hungary
13,0,0,2,2,1948,Great Britain
1,7,3,6,16,1952,Norway
2,4,6,1,11,1952,United States
3,3,4,2,9,1952,Finland
4,3,2,2,7,1952,Germany
5,2,4,2,8,1952,Austria
6,1,0,1,2,1952,Canada
6,1,0,1,2,1952,Italy
8,1,0,0,1,1952,Great Britain
9,0,3,0,3,1952,Netherlands
10,0,0,4,4,1952,Sweden
11,0,0,2,2,1952,Switzerland
12,0,0,1,1,1952,France
12,0,0,1,1,1952,Hungary
1,7,3,6,16,1956,Soviet Union
2,4,3,4,11,1956,Austria
3,3,3,1,7,1956,Finland
4,3,2,1,6,1956,Switzerland
5,2,4,4,10,1956,Sweden
6,2,3,2,7,1956,United States
7,2,1,1,4,1956,Norway
8,1,2,0,3,1956,Italy
9,1,0,1,2,1956,United Team of Germanya
10,0,1,2,3,1956,Canada
11,0,1,0,1,1956,Japan
12,0,0,1,1,1956,Hungary
12,0,0,1,1,1956,Poland
1,7,5,9,21,1960,Soviet Union
2,4,3,1,8,1960,United Team of Germany
3,3,4,3,10,1960,United States
4,3,3,0,6,1960,Norway
5,3,2,2,7,1960,Sweden
6,2,3,3,8,1960,Finland
7,2,1,1,4,1960,Canada
8,2,0,0,2,1960,Switzerland
9,1,2,3,6,1960,Austria
10,1,0,2,3,1960,France
11,0,1,1,2,1960,Netherlands
11,0,1,1,2,1960,Poland
13,0,1,0,1,1960,Czechoslovakia
14,0,0,1,1,1960,Italy
1,11,8,6,25,1964,Soviet Union
2,4,5,3,12,1964,Austria
3,3,6,6,15,1964,Norway
4,3,4,3,10,1964,Finland
5,3,4,0,7,1964,France
6,3,3,3,9,1964,United Team of Germany
7,3,3,1,7,1964,Sweden
8,1,2,4,7,1964,United States
9,1,1,1,3,1964,Canada
10,1,1,0,2,1964,Netherlands
11,1,0,0,1,1964,Great Britain
12,0,1,3,4,1964,Italy
13,0,1,0,1,1964,North Korea
14,0,0,1,1,1964,Czechoslovakia
1,6,6,2,14,1968,Norway
2,5,5,3,13,1968,Soviet Union
3,4,3,2,9,1968,France
4,4,0,0,4,1968,Italy
5,3,4,4,11,1968,Austria
6,3,3,3,9,1968,Netherlands
7,3,2,3,8,1968,Sweden
8,2,2,3,7,1968,West Germany
9,1,5,1,7,1968,United States
10,1,2,2,5,1968,East Germany
10,1,2,2,5,1968,Finland
12,1,2,1,4,1968,Czechoslovakia
13,1,1,1,3,1968,Canada
14,0,2,4,6,1968,Switzerland
15,0,0,1,1,1968,Romania
1,8,5,3,16,1972,Soviet Union
2,4,3,7,14,1972,East Germany
3,4,3,3,10,1972,Switzerland
4,4,3,2,9,1972,Netherlands
5,3,2,3,8,1972,United States
6,3,1,1,5,1972,West Germany
7,2,5,5,12,1972,Norway
8,2,2,1,5,1972,Italy
9,1,2,2,5,1972,Austria
10,1,1,2,4,1972,Sweden
11,1,1,1,3,1972,Japan
12,1,0,2,3,1972,Czechoslovakia
13,1,0,0,1,1972,Poland
13,1,0,0,1,1972,Spain
15,0,4,1,5,1972,Finland
16,0,1,2,3,1972,France
17,0,1,0,1,1972,Canada
1,13,6,8,27,1976,Soviet Union
2,7,5,7,19,1976,East Germany
3,3,3,4,10,1976,United States
4,3,3,1,7,1976,Norway
5,2,5,3,10,1976,West Germany
6,2,4,1,7,1976,Finland
7,2,2,2,6,1976,Austria
8,1,3,1,5,1976,Switzerland
9,1,2,3,6,1976,Netherlands
10,1,2,1,4,1976,Italy
11,1,1,1,3,1976,Canada
12,1,0,0,1,1976,Great Britain
13,0,1,0,1,1976,Czechoslovakia
14,0,0,2,2,1976,Liechtenstein
14,0,0,2,2,1976,Sweden
16,0,0,1,1,1976,France
1,10,6,6,22,1980,Soviet Union
2,9,7,7,23,1980,East Germany
3,6,4,2,12,1980,United States
4,3,2,2,7,1980,Austria
5,3,0,1,4,1980,Sweden
6,2,2,0,4,1980,Liechtenstein
7,1,5,3,9,1980,Finland
8,1,3,6,10,1980,Norway
9,1,2,1,4,1980,Netherlands
10,1,1,3,5,1980,Switzerland
11,1,0,0,1,1980,Great Britain
12,0,2,3,5,1980,West Germany
13,0,2,0,2,1980,Italy
14,0,1,1,2,1980,Canada
15,0,1,0,1,1980,Hungary
15,0,1,0,1,1980,Japan
17,0,0,1,1,1980,Bulgaria
17,0,0,1,1,1980,Czechoslovakia
17,0,0,1,1,1980,France
1,9,9,6,24,1984,East Germany
2,6,10,9,25,1984,Soviet Union
3,4,4,0,8,1984,United States
4,4,3,6,13,1984,Finland
5,4,2,2,8,1984,Sweden
6,3,2,4,9,1984,Norway
