Rank,Gold,Silver,Bronze,Total,CY,NOC,IsHost,Relative_Year,Host_Country,Original_Host_Year
18,0,2,2,4,2026,China,False,+4,China,2022
16,1,6,2,9,2018,China,False,-4,China,2022
12,3,4,2,9,2014,China,False,-8,China,2022
4,9,4,2,15,2022,China,True,Host Year,China,2022
14,2,5,2,9,2022,South Korea,False,+4,South Korea,2018
13,1,1,2,4,2026,South Korea,False,+8,South Korea,2018
13,3,3,2,8,2014,South Korea,False,-4,South Korea,2018
5,6,6,2,14,2010,South Korea,False,-8,South Korea,2018
7,5,8,4,17,2018,South Korea,True,Host Year,South Korea,2018
12,2,5,6,13,2010,Russia,False,-4,Russia,2014
4,8,6,8,22,2006,Russia,False,-8,Russia,2014
2,10,10,9,29,2014,Russia,True,Host Year,Russia,2014
3,10,10,5,25,2014,Canada,False,+4,Canada,2010
3,11,8,10,29,2018,Canada,False,+8,Canada,2010
5,7,10,7,24,2006,Canada,False,-4,Canada,2010
4,7,3,7,17,2002,Canada,False,-8,Canada,2010
1,14,7,5,26,2010,Canada,True,Host Year,Canada,2010
17,1,1,3,5,2010,Italy,False,+4,Italy,2006
23,0,2,6,8,2014,Italy,False,+8,Italy,2006
7,4,4,5,13,2002,Italy,False,-4,Italy,2006
10,2,6,2,10,1998,Italy,False,-8,Italy,2006
9,5,0,6,11,2006,Italy,True,Host Year,Italy,2006
2,9,9,7,25,2006,United States,False,+4,United States,2002
3,9,15,13,37,2010,United States,False,+8,United States,2002
5,6,3,4,13,1998,United States,False,-4,United States,2002
5,6,5,2,13,1994,United States,False,-8,United States,2002
3,10,13,11,34,2002,United States,True,Host Year,United States,2002
21,0,1,1,2,2002,Japan,False,+4,Japan,1998
18,1,0,0,1,2006,Japan,False,+8,Japan,1998
11,1,2,2,5,1994,Japan,False,-4,Japan,1998
11,1,2,4,7,1992,Japan,False,-6,Japan,1998
7,5,1,4,10,1998,Japan,True,Host Year,Japan,1998
2,10,10,5,25,1998,Norway,False,+4,Norway,1994
1,13,5,7,25,2002,Norway,False,+8,Norway,1994
3,9,6,5,20,1992,Norway,False,-2,Norway,1994
12,0,3,2,5,1988,Norway,False,-6,Norway,1994
2,10,11,5,26,1994,Norway,True,Host Year,Norway,1994
17,0,1,4,5,1994,France,False,+2,France,1992
13,2,1,5,8,1998,France,False,+6,France,1992
11,1,0,1,2,1988,France,False,-4,France,1992
13,0,1,2,3,1984,France,False,-8,France,1992
7,3,5,1,9,1992,France,True,Host Year,France,1992
9,2,3,2,7,1992,Canada,False,+4,Canada,1988
7,3,6,4,13,1994,Canada,False,+6,Canada,1988
8,2,1,1,4,1984,Canada,False,-4,Canada,1988
14,0,1,1,2,1980,Canada,False,-8,Canada,1988
13,0,2,3,5,1988,Canada,True,Host Year,Canada,1988
14,0,2,1,3,1988,Yugoslavia,False,+4,Yugoslavia,1984
14,0,1,0,1,1984,Yugoslavia,True,Host Year,Yugoslavia,1984
3,4,4,0,8,1984,United States,False,+4,United States,1980
9,2,1,3,6,1988,United States,False,+8,United States,1980
3,3,3,4,10,1976,United States,False,-4,United States,1980
5,3,2,3,8,1972,United States,False,-8,United States,1980
3,6,4,2,12,1980,United States,True,Host Year,United States,1980
4,3,2,2,7,1980,Austria,False,+4,Austria,1976
17,0,0,1,1,1984,Austria,False,+8,Austria,1976
9,1,2,2,5,1972,Austria,False,-4,Austria,1976
5,3,4,4,11,1968,Austria,False,-8,Austria,1976
7,2,2,2,6,1976,Austria,True,Host Year,Austria,1976
15,0,1,0,1,1980,Japan,False,+8,Japan,1972
11,1,1,1,3,1972,Japan,True,Host Year,Japan,1972
16,0,1,2,3,1972,France,False,+4,France,1968
16,0,0,1,1,1976,France,False,+8,France,1968
5,3,4,0,7,1964,France,False,-4,France,1968
10,1,0,2,3,1960,France,False,-8,France,1968
3,4,3,2,9,1968,France,True,Host Year,France,1968
5,3,4,4,11,1968,Austria,False,+4,Austria,1964
9,1,2,2,5,1972,Austria,False,+8,Austria,1964
9,1,2,3,6,1960,Austria,False,-4,Austria,1964
2,4,3,4,11,1956,Austria,False,-8,Austria,1964
2,4,5,3,12,1964,Austria,True,Host Year,Austria,1964
8,1,2,4,7,1964,United States,False,+4,United States,1960
9,1,5,1,7,1968,United States,False,+8,United States,1960
6,2,3,2,7,1956,United States,False,-4,United States,1960
2,4,6,1,11,1952,United States,False,-8,United States,1960
3,3,4,3,10,1960,United States,True,Host Year,United States,1960
14,0,0,1,1,1960,Italy,False,+4,Italy,1956
12,0,1,3,4,1964,Italy,False,+8,Italy,1956
6,1,0,1,2,1952,Italy,False,-4,Italy,1956
10,1,0,0,1,1948,Italy,False,-8,Italy,1956
8,1,2,0,3,1956,Italy,True,Host Year,Italy,1956
7,2,1,1,4,1956,Norway,False,+4,Norway,1952
4,3,3,0,6,1960,Norway,False,+8,Norway,1952
1,4,3,3,10,1948,Norway,False,-4,Norway,1952
1,7,3,6,16,1952,Norway,True,Host Year,Norway,1952
11,0,0,2,2,1952,Switzerland,False,+4,Switzerland,1948
4,3,2,1,6,1956,Switzerland,False,+8,Switzerland,1948
3,3,4,3,10,1948,Switzerland,True,Host Year,Switzerland,1948
