country,athletes,Gold,Silver,Bronze,Total
Afghanistan,6,0.0,0.0,0.0,0.0
Albania,8,0.0,0.0,0.0,0.0
Algeria,45,1.0,0.0,0.0,1.0
American Samoa,2,0.0,0.0,0.0,0.0
Andorra,2,0.0,0.0,0.0,0.0
Angola,24,0.0,0.0,0.0,0.0
Antigua and Barbuda,5,0.0,0.0,0.0,0.0
Argentina,136,1.0,0.0,0.0,1.0
Armenia,15,0.0,1.0,0.0,1.0
Aruba,6,0.0,0.0,0.0,0.0
Australia,460,13.0,11.0,8.0,32.0
Austria,81,0.0,0.0,1.0,1.0
Azerbaijan,47,2.0,0.0,0.0,2.0
Bahamas,18,0.0,0.0,0.0,0.0
Bahrain,14,0.0,0.0,0.0,0.0
Bangladesh,5,0.0,0.0,0.0,0.0
Barbados,4,0.0,0.0,0.0,0.0
Belgium,165,2.0,0.0,3.0,5.0
Belize,1,0.0,0.0,0.0,0.0
Benin,5,0.0,0.0,0.0,0.0
Bermuda,8,0.0,0.0,0.0,0.0
Bhutan,3,0.0,0.0,0.0,0.0
Bolivia,4,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,5,0.0,0.0,0.0,0.0
Botswana,13,0.0,0.0,0.0,0.0
Brazil,277,2.0,4.0,5.0,11.0
Brunei,3,0.0,0.0,0.0,0.0
Bulgaria,46,0.0,0.0,0.0,0.0
Burkina Faso,8,0.0,0.0,0.0,0.0
Burundi,7,0.0,0.0,0.0,0.0
Cape Verde,7,0.0,0.0,1.0,1.0
Cambodia,3,0.0,0.0,0.0,0.0
Cameroon,6,0.0,0.0,0.0,0.0
Canada,316,5.0,4.0,8.0,17.0
Cayman Islands,4,0.0,0.0,0.0,0.0
Central African Republic,4,0.0,0.0,0.0,0.0
Chad,3,0.0,0.0,0.0,0.0
Chile,48,1.0,0.0,0.0,1.0
Taiwan,60,1.0,0.0,3.0,4.0
Colombia,88,0.0,1.0,0.0,1.0
Comoros,4,0.0,0.0,0.0,0.0
Republic of the Congo,4,0.0,0.0,0.0,0.0
Cook Islands,2,0.0,0.0,0.0,0.0
Costa Rica,6,0.0,0.0,0.0,0.0
Croatia,73,2.0,1.0,2.0,5.0
Cuba,61,0.0,0.0,1.0,1.0
Cyprus,15,0.0,0.0,0.0,0.0
Czech Republic,112,1.0,0.0,1.0,2.0
Ivory Coast,13,0.0,0.0,0.0,0.0
North Korea,16,0.0,2.0,1.0,3.0
East Timor,4,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,6,0.0,0.0,0.0,0.0
Denmark,123,1.0,1.0,0.0,2.0
Djibouti,7,0.0,0.0,0.0,0.0
Dominica,4,1.0,0.0,0.0,1.0
Dominican Republic,57,0.0,0.0,2.0,2.0
Ecuador,40,1.0,0.0,0.0,1.0
Egypt,149,0.0,0.0,1.0,1.0
El Salvador,8,0.0,0.0,0.0,0.0
Equatorial Guinea,3,0.0,0.0,0.0,0.0
Eritrea,13,0.0,0.0,0.0,0.0
Estonia,24,0.0,0.0,0.0,0.0
Eswatini,3,0.0,0.0,0.0,0.0
Ethiopia,32,0.0,2.0,0.0,2.0
Micronesia,3,0.0,0.0,0.0,0.0
Fiji,33,0.0,1.0,0.0,1.0
Finland,56,0.0,0.0,0.0,0.0
France,572,12.0,16.0,18.0,46.0
